
*                 FILE                 DATE               TARGET                 FOIL         PRESSURE_MAX         PRESSURE_MIN         PRESSURE_AVE         PRESSURE_STD
$                  %le                   %s                   %s                  %le                  %le                  %le                  %le                  %le
                  4267           2020-02-17                    1                    3                  1.8                  1.7        1.79786967419      0.0144393314727
                  4268           2020-02-17                    1                    3                  1.8                  1.7        1.76621621622      0.0472972972973
                  4269           2020-02-17                    1                    3                  1.8                  1.7         1.7831675593      0.0374154114015
                  4270           2020-02-17                    1                    3                  1.8                  1.7        1.77026315789       0.045710003633
                  4273           2020-02-18                    1                    3                  1.8                  1.7        1.77619047619          0.042591771
                  4274           2020-02-18                    1                    3                  1.8                  1.7         1.7663132137      0.0472639297845
                  4275           2020-02-18                    1                    3                  1.8                  1.7        1.79383378016      0.0240540997921
                  4276           2020-02-18                    1                    3                  1.8                  1.7        1.76339100346      0.0481734473162
                  4279           2020-02-18                    1                    1                  2.4                  2.2        2.24486486486      0.0539079105473
                  4281           2020-02-19                    1                    1                  1.9                  1.7        1.80246957767      0.0170577350705
                  4282           2020-02-19                    1                    1                  1.8                  1.7         1.7955904908      0.0205306392701
                  4283           2020-02-19                    1                    1                  1.8                  1.7        1.77837338262      0.0411697845322
                  4284           2020-02-19                    4                    1                  1.8                  1.7        1.79376484561      0.0241792946363
                  4285           2020-02-20                    1                    1                  1.8                  1.7        1.77085582113      0.0454426531485
                  4286           2020-02-20                    1                    1                  1.8                  1.7        1.77444933921      0.0436145596371
                  4287           2020-02-20                    1                    1                  1.8                  1.7        1.77167736022      0.0450565428533
                  4289           2020-02-21                    1                    1                  1.8                  1.7        1.71586280815      0.0365328911025
                  4290           2020-02-21                    1                    1                  1.8                  1.7        1.72399368587      0.0427044684487
                  4291           2020-02-21                    1                    1                  1.8                  1.7        1.72596741344      0.0438455788345
                  4293           2020-02-24                    1                    1                  1.8                  1.7        1.74221267454      0.0493898528266
                  4294           2020-02-24                    1                    2                  1.8                  1.7        1.75594191823      0.0496456806559
                  4295           2020-02-24                    1                    2                  1.8                  1.7        1.75769550749      0.0494042423736
                  4297           2020-02-25                    1                    2                  1.8                  1.7        1.70070846617     0.00838717430121
                  4298           2020-02-25                    1                    2                  1.8                  1.6        1.70335849057      0.0182240711021
                  4299           2020-02-25                    1                    2                  1.8                  1.7        1.71281818182      0.0334292147185
                  4301           2020-02-26                    1                    2                  1.8                  1.7        1.70068247126     0.00823294354469
