
*                 FILE                 DATE               TARGET                 FOIL   COLL_CURRENT_L_MAX   COLL_CURRENT_L_MIN   COLL_CURRENT_L_AVE   COLL_CURRENT_L_STD   COLL_CURRENT_R_MAX   COLL_CURRENT_R_MIN   COLL_CURRENT_R_AVE   COLL_CURRENT_R_STD RELATIVE_COLL_CURRENT_L_MAX RELATIVE_COLL_CURRENT_L_MIN RELATIVE_COLL_CURRENT_L_AVE RELATIVE_COLL_CURRENT_L_STD RELATIVE_COLL_CURRENT_R_MAX RELATIVE_COLL_CURRENT_R_MIN RELATIVE_COLL_CURRENT_R_AVE RELATIVE_COLL_CURRENT_R_STD   TARGET_CURRENT_MAX   TARGET_CURRENT_MIN   TARGET_CURRENT_AVE   TARGET_CURRENT_STD     FOIL_CURRENT_MAX     FOIL_CURRENT_MIN     FOIL_CURRENT_AVE     FOIL_CURRENT_STD RELATIVE_TARGET_CURRENT_MAX RELATIVE_TARGET_CURRENT_MIN RELATIVE_TARGET_CURRENT_AVE RELATIVE_TARGET_CURRENT_STD EXTRACTION_LOSSES_MAX EXTRACTION_LOSSES_MIN EXTRACTION_LOSSES_AVE EXTRACTION_LOSSES_STD RELATIVE_COLL_CURRENT_MAX RELATIVE_COLL_CURRENT_MIN RELATIVE_COLL_CURRENT_AVE RELATIVE_COLL_CURRENT_STD
$                  %le                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
                  4706           2020-07-29                    1                    2                  5.3                  4.2        4.99691409508       0.246135404451                  4.1                  3.5        3.74145120934        0.18935357067        4.89381348107        3.89972144847        4.60578535292       0.215937289809        3.78228782288         3.2021957914        3.44894228677       0.172853914018                101.1                 98.1        99.7612176814       0.411578282213                110.1                106.4        108.480066722        0.55539930309        93.0646672915        90.9671532847        91.9637239006       0.327481249844       0.917431192661      -0.918273645546     -0.0184515402867       0.286366879186        8.48708487085        7.51879699248         8.0547276397       0.176030961778
                  4708           2020-07-30                    1                    2                  7.4                  3.8        5.39702012384        0.98301895183                  7.1                  3.5        4.82027863777       0.695456673187        6.59536541889         3.4703196347        4.88999310935       0.836760691343        6.32798573975        3.21100917431        4.37006851952        0.58876106313                101.3                   98        99.9142414861       0.424052355127                113.1                  106        110.162770898        1.51153697438         93.029739777        88.1310894597        90.7128527746        1.22024878308        1.00548446069      -0.926784059314      0.0270855965075       0.309896093911        11.1308993767        7.55064456722        9.26006162886        1.13082009609
                  4709           2020-07-30                    1                    2                  6.1                  4.4        4.96238767651       0.350440688859                  5.3                  3.7        4.41788617886       0.399064137188          5.540417802        4.00363967243        4.53928365538       0.313948185606        4.83135824977        3.41959334566        4.04033776129       0.350574206515                101.3                 98.2        99.9441591784       0.427450659413                111.3                  107         109.31292255       0.651646063928        92.8703703704        89.8198198198        91.4314218511       0.473004953091        1.00364963504       -1.11111111111     -0.0110432677537       0.301415437107        9.53678474114        7.93357933579        8.57962141668       0.368381566401
                  4710           2020-07-30                    1                    2                  4.8                  4.3              4.63875      0.0813845040533                  3.8                  3.5              3.71625      0.0600910767086        4.45682451253        4.13602941176        4.30357986004      0.0625362715632        3.54808590103        3.33642261353        3.44783794925      0.0514890278672                100.7                 95.8              99.5425       0.595141789828                  109                103.2              107.785       0.686130454068        92.8637627433        91.6897506925         92.353445777       0.266475489563       0.554016620499      -0.649953574745      -0.104863586268        0.27070508676        7.88497217069        7.55813953488        7.75141780929      0.0588193936877
                  4716           2020-08-03                    4                    1                  6.7                  4.1        5.64687387062       0.494571346118                  7.5                  3.7        4.54253704373       0.656254386105        5.98748882931        3.75114364135         5.1149975135       0.420467772206        6.75675675676        3.38517840805        4.11303829136       0.567464739259                101.3                 96.1        100.029562703       0.428595579651                113.1                106.7        110.353451391       0.971584821376        92.2935779817         88.256227758        90.6505105774       0.752381171078        1.08991825613       -0.91407678245       0.121453617721       0.293727683787        11.5315315315        8.11808118081        9.22803580486       0.716324033272
                  4717           2020-08-03                    4                    1                    7                  5.3        6.33152246814        0.33171145736                  8.2                  4.5        5.87877263581       0.849248357422        6.26118067979        4.71111111111        5.63904970993       0.315425169914        7.23104056437        4.02864816473        5.23149647853       0.731887594671                101.5                 96.8         99.988028169       0.450955690454                114.5                110.4        112.304191818       0.712007204775        90.6390639064        87.0503597122        89.0355548608       0.509782994374       0.986547085202      -0.892060660125      0.0938989507358       0.280629022391        12.6798561151        9.84780662489        10.8705461885        0.45344405594
                  4718           2020-08-03                    4                    1                  6.5                  5.3        6.14784446323       0.212603718174                  6.8                    4         5.0111580727        0.54777866451        5.89301903898        4.82573726542        5.53135584852       0.203065337498        6.06601248885        3.58102059087         4.5067911261       0.477647904818                101.6                   97        99.8794590025       0.416878524202                112.8                108.8        111.155621302       0.571350462582        90.9579230081        88.7096774194        89.8567915781        0.39523361465        0.89928057554      -0.723327305606       0.105061447288       0.270977963514        11.0615521855         8.8630259624        10.0381469746       0.317006782507
                  4720           2020-08-04                    1                    2                  7.9                  4.2        6.17319444444        0.78694732468                  8.7                  3.6        5.22740740741       0.707236890444        6.95422535211        3.70697263901        5.54097966189       0.662844076869        7.67872903795        3.29368709973        4.69165716522       0.598704549714                101.6                 93.7        99.8716666667       0.473348004467                113.8                104.4        111.306666667        1.34027084051        92.2222222222        87.8199470432        89.7372523793       0.963103068617        1.09990834097      -0.919117647059      0.0301107935987       0.298868029685        11.5761353517        8.14272644099        10.2326368271       0.889564771243
                  4721           2020-08-04                    1                    2                  5.9                  4.3        5.44712348846       0.177767515661                  6.6                  3.8        4.52161964089       0.436719021282        5.35390199637        4.24481737414        4.96057121124       0.154575607402        6.11677479147        3.45454545455        4.11653145622       0.383193539303                101.2                   92        99.8676438256       0.411671489293                111.5                101.3         109.80476365       0.641178282952        92.4701561065         89.156626506        90.9522476177       0.482177422803       0.905797101449       -1.10192837466     -0.0293502851206       0.303076090869         10.843373494        8.37887067395        9.07710266746       0.377784876321
                  4722           2020-08-04                    1                    2                  5.9                  4.9        5.63028169014       0.166427289578                  4.5                  3.9        4.14084507042       0.143802288099        5.33936651584        4.72972972973        5.14518134184       0.138738449645        4.14364640884        3.55515041021        3.78458568598       0.138043942653                101.4                 94.6        99.7354460094       0.518608569177                111.4                103.6        109.421596244       0.596589120556         91.904323827        90.4284412033        91.1484316485       0.285155965026       0.638103919781      -0.829493087558     -0.0781986763505       0.293222903227        9.14027149321        8.67579908676        8.92976702781       0.066514150089
