
*                 FILE                 DATE               TARGET                 FOIL          CURRENT_MAX          CURRENT_MIN          CURRENT_AVE          CURRENT_STD          VOLTAGE_MAX          VOLTAGE_MIN          VOLTAGE_AVE          VOLTAGE_STD                HFLOW            RATIO_MAX            RATIO_MIN            RATIO_AVE            RATIO_STD SOURCE_PERFORMANCE_AVE SOURCE_PERFORMANCE_STD
$                  %le                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
                  4199           2020-01-28                    1                    3                  434                  363        419.501449275         10.470420624                  492                  445        454.182246377        5.48288939458                  4.5        4.40162271805        3.71545547595         4.2030706914       0.101473865624       0.181481481481                    0
                  4200           2020-01-28                    1                    3                  459                  380        443.869083969        12.5601164451                  481                  433        442.429770992        6.58665310945                  4.5        4.61616161616        3.88329979879        4.44013498884       0.121712750111       0.204166666667                    0
                  4201           2020-01-28                    1                    3                  457                  336        442.446374622        17.7652787865                  515                  435        443.792296073        9.80280962792                  4.5        4.61150353179        3.57066950053        4.43117491707       0.168463144889       0.207042253521                    0
                  4203           2020-01-29                    1                    3                  449                  348        430.638450502        10.5372802367                  506                  439        448.363701578         5.4603437505                  4.5        4.52887537994        3.81161007667        4.31058427953       0.101643595594       0.175903614458                    0
                  4204           2020-01-29                    1                    4                  455                  376        443.210445469        10.4668057686                  483                  436        443.000384025        5.61990508691                  4.5        4.60365853659        3.85641025641        4.43098258441         0.1001705434       0.211267605634                    0
                  4205           2020-01-29                    1                    4                  464                  399        448.900703351        7.58600307254                  468                  432        440.582954075        4.07367085714                  4.5        4.67676767677        4.07142857143        4.48909415021      0.0718673246358       0.201388888889                    0
                  4207           2020-01-30                    1                    4                  440                  347        428.253276656        8.56307280102                  514                  443         450.36167198          4.594415626                  4.5        4.43434343434        3.75947995666        4.28291846282      0.0838344269207       0.174117647059                    0
                  4208           2020-01-30                    1                    4                  460                  378        446.680711249        11.1338670182                  483                  435        441.718206417        5.81673380382                  4.5        4.67005076142        3.95811518325        4.46766488479       0.105579120161       0.204109589041                    0
                  4209           2020-01-30                    1                    4                  392                  361                  381        12.3773987574                  502                  474                481.4        10.5375518979                  4.5        4.03470715835        3.89428263215        3.95112682791      0.0492882065017       0.204225352113                    0
                  4211           2020-01-31                    1                    4                  443                  373        429.436296296        9.88676711875                  486                  442               450.07         5.2485542983                  4.5        4.46464646465        3.82172131148        4.29414561811      0.0955095968408       0.205405405405                    0
                  4212           2020-01-31                    1                    4                  471                  392        453.639298525        11.4830279246                  483                  429        438.537265843        5.72248352673                  4.5        4.75659229209         4.0412371134        4.53960489569       0.111252033804       0.202777777778                    0
                  4213           2020-01-31                    1                    4                  465                  361        449.183760684        18.3317363279                  495                  432        441.112820513        9.78045791372                  4.5        4.70171890799        3.67243133266        4.49964592174       0.176455828618       0.211267605634                    0
                  4215           2020-02-03                    1                    4                  409                  325        385.258590152        12.7525181637                  527                  458        472.405596883         7.8463501913                  4.5        4.10050251256        3.32310838446        3.85686906664       0.126552526806       0.192307692308                    0
                  4216           2020-02-03                    1                    4                  448                  341         428.35819209        17.7057382606                  506                  437        449.125047081        9.70554201999                  4.5        4.52525252525        3.49027635619        4.29433391943       0.171904626485       0.208695652174                    0
                  4217           2020-02-03                    1                    4                  460                  362         446.57312253        14.4695260026                  492                  432        440.466897233        7.48667400159                  4.5        4.65045592705        3.72811534501        4.46955970905       0.139027595829       0.213043478261                    0
                  4219           2020-02-04                    1                    5                  439                  370        429.574309979        8.64088306787                  486                  442        448.044585987        4.51224574913                  4.5        4.42073170732        3.78710337769        4.29541321638      0.0814042830623       0.176470588235                    0
                  4220           2020-02-04                    1                    5                  462                  378        448.495736434        12.0796605447                  480                  432        439.725193798        6.10121866093                  4.5        4.64646464646        3.90092879257        4.48798380326       0.115151965023       0.214492753623                    0
                  4221           2020-02-04                    1                    5                  460                  381        447.594684385        11.6067988288                  480                  433        440.598837209        6.10125241569                  4.5        4.65920651068        3.94002068252         4.4882447801       0.110645667037       0.214925373134                    0
                  4223           2020-02-05                    1                    5                  439                  377        426.895129755        8.03148937878                  481                  443        450.069676502         4.1076149189                  4.5        4.42073170732        3.85480572597         4.2733302052      0.0801241250265       0.176470588235                    0
                  4224           2020-02-05                    1                    5                  472                  360        452.373457944        14.6263354277                  496                  427        438.362990654        7.34802500199                  4.5        4.74268415742        3.82978723404        4.52865668998       0.141310720372        0.20985915493                    0
                  4225           2020-02-05                    1                    5                  483                  375        465.216778934        10.8418249644                  484                  424        432.766687079        5.27690712367                  4.5        4.92276004119        4.09836065574        4.65475150853      0.0995337213055       0.205633802817                    0
                  4227           2020-02-06                    1                    5                  453                  373        436.024056255        11.2169810921                  487                  437        446.115470022        5.92895182834                  4.5        4.55465587045        3.78296146045         4.3664112611       0.107927547275       0.227692307692                    0
                  4228           2020-02-06                    1                    5                  478                  397        463.269515918        10.0738970261                  474                  424        433.657217619        4.81314946619                  4.5        4.81818181818        4.10548086867        4.64136156074      0.0947653920932       0.201369863014                    0
                  4229           2020-02-06                    1                    5                  363                  317        355.952755906         6.3094208623                  531                  490        495.975393701        4.70930399702                  4.5        4.57648546144        4.12060301508        4.45672639519      0.0752996588444       0.208695652174                    0
                  4231           2020-02-07                    1                    5                  434                  365        421.163888889        6.68044153947                  490                  446         454.36031746        3.54354049847                  4.5         4.3661971831        3.72829417773        4.21222461288      0.0666280608203       0.236507936508                    0
                  4232           2020-02-07                    1                    5                  455                  362         437.78200692        13.1885944154                  492                  436        446.363706267        7.15554470462                  4.5        4.59595959596        3.66767983789        4.38303549674       0.125201850818       0.208695652174                    0
                  4233           2020-02-07                    1                    5                  474                  366         458.47289504        14.0857938461                  493                  427        436.694348328        7.09533062069                  4.5        4.78304742684         3.9653304442        4.59395598324       0.131977418294       0.211594202899                    0
                  4234           2020-02-09                    1                    1                  202                  137        174.033009709        17.9515225757                  867                  679        744.141747573        44.8235949574                  4.5        4.06438631791        2.76767676768        3.48727073159       0.360029134218       0.368292682927                    0
                  4235           2020-02-09                    1                    1                  575                  454        549.667802385        22.3983686687                  443                  391        401.049403748        9.11721580339                  4.5        6.10403397028        5.12415349887        5.82837516338       0.169592575193       0.258620689655                    0
