
*                 FILE                 DATE               TARGET                 FOIL     DEE1_VOLTAGE_MAX     DEE1_VOLTAGE_MIN     DEE1_VOLTAGE_AVE     DEE1_VOLTAGE_STD     DEE2_VOLTAGE_MAX     DEE2_VOLTAGE_MIN     DEE2_VOLTAGE_AVE     DEE2_VOLTAGE_STD    FORWARD_POWER_MAX    FORWARD_POWER_MIN    FORWARD_POWER_AVE    FORWARD_POWER_STD  REFLECTED_POWER_MAX  REFLECTED_POWER_MIN  REFLECTED_POWER_AVE  REFLECTED_POWER_STD       PHASE_LOAD_MAX       PHASE_LOAD_MIN       PHASE_LOAD_AVE       PHASE_LOAD_STD            FLAP1_MAX            FLAP1_MIN            FLAP1_AVE            FLAP1_STD            FLAP2_MAX            FLAP2_MIN            FLAP2_AVE            FLAP2_STD
$                  %le                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
                  4166           2020-01-16                    4                    3                 37.6                   37        37.3160941001       0.100216986926                 40.7                   40        40.3153472741       0.123611371285                 11.2                 10.3        10.7489544436       0.129789961364                  0.3                  0.1       0.198469006721      0.0206659382456                 36.7                 30.4        33.9626587005        1.26880858743                 44.6                 37.1        41.1561239731        1.46763624544                 36.7                 30.4        33.9626587005        1.26880858743
                  4167           2020-01-16                    4                    3                 37.6                   37        37.3198383542       0.105729905701                 40.7                 39.9        40.3187729611       0.133663000972                 11.2                 10.4        10.8139235856       0.135073246118                  0.3                  0.1       0.201910360029      0.0147233379977                 38.6                 34.4        36.5541146216       0.921870545977                 45.8                 40.5        43.3709772226       0.827611135288                 38.6                 34.4        36.5541146216       0.921870545977
                  4168           2020-01-16                    4                    3                 37.6                   37         37.321471173       0.108377802962                 40.8                   40        40.3192445328       0.132671831808                 11.4                 10.5        10.8712922465       0.133566016616                  0.4                  0.2       0.203896620278      0.0195558345391                 38.7                 35.2        37.2123658052       0.747492939908                 46.7                 41.5         43.931610338       0.749371367596                 38.7                 35.2        37.2123658052       0.747492939908
                  4170           2020-01-17                    4                    3                 37.7                   37        37.3175901822        0.10341506771                 40.7                 39.9        40.3164001488       0.126818132636                 11.3                 10.6        10.8799553737       0.125495810507                  0.3                  0.2        0.20200818148      0.0140280203576                 36.8                 30.9        34.1256600967        1.35733335318                 47.3                 36.5        41.0429899591        1.55005132663                 36.8                 30.9        34.1256600967        1.35733335318
                  4171           2020-01-17                    4                    3                 37.6                   37        37.3208063903       0.104176552405                 40.9                 39.9        40.3198554583       0.129256799829                 11.4                 10.5        10.8868391023       0.134025983385                  0.3                  0.2       0.203689615824      0.0188506847999                 38.3                 33.3        36.0027767212        1.06871371442                 45.6                 39.9        43.0771395968       0.946567157527                 38.3                 33.3        36.0027767212        1.06871371442
                  4172           2020-01-17                    4                    3                 37.6                 37.1         37.320747762       0.101599991546                 40.8                 39.9        40.3187993681       0.126813049529                 11.4                 10.6        10.8879410216       0.133281683113                  0.4                  0.2       0.204265402844      0.0204665209993                 38.3                 34.6        36.3893101632       0.794515493268                   46                 40.9        43.4450236967       0.806751550485                 38.3                 34.6        36.3893101632       0.794515493268
                  4174           2020-01-20                    4                    3                 37.6                   37        37.3183381089       0.100751276815                 40.8                 39.9        40.3202722063       0.125725107654                 11.3                 10.5        10.8910458453       0.127061998567                  0.4                  0.2       0.203187679083      0.0179703438458                   38                 32.5        35.2534383954        1.22758804903                 45.5                 37.9        42.2892191977        1.29167012479                   38                 32.5        35.2534383954        1.22758804903
                  4175           2020-01-20                    4                    4                 37.6                   37         37.318078056      0.0984458903061                 40.7                 39.8        40.3178571429       0.123199744078                 11.1                 10.4        10.6994845361       0.133022081658                  0.3                  0.1       0.189322533137      0.0343804488838                 38.7                 34.9        37.2288291605       0.774566408408                 46.8                 41.4        44.2201399116       0.870069391633                 38.7                 34.9        37.2288291605       0.774566408408
                  4176           2020-01-20                    4                    4                 37.7                   37        37.3192699491      0.0968632494651                 40.7                   40        40.3201188455       0.123073208856                 11.2                 10.3        10.6942699491       0.130287399944                  0.3                  0.1        0.19117147708      0.0331967351887                 38.6                 34.4        36.9463073005       0.842785691742                 46.6                 41.7        44.1561120543       0.755433624006                 38.6                 34.4        36.9463073005       0.842785691742
                  4177           2020-01-20                    4                    4                 37.6                   37        37.3167840376      0.0991157398502                 40.6                 39.9        40.3177230047       0.123725344341                 10.8                   10        10.3164319249        0.11803334181                  0.3                  0.1       0.116431924883      0.0373718946712                 37.3                 34.6        35.9248826291        0.56596803965                 45.5                 40.9        43.6235915493       0.655883278809                 37.3                 34.6        35.9248826291        0.56596803965
